uid,tusername,rank,nodes,ways,relations,areas_way,areas_rel,lastedit
1556391,relet,307,247,16,0,2,0,1385047608
691314,H@mlet,304,145,41,0,6,0,1401897846
524706,FSe,303,258,11,0,2,0,1318189855
305001,voschix,296,233,19,0,1,0,1399717094
711403,recmar,296,185,21,0,8,0,1345276415
15850,Qui-Gon,284,245,13,0,0,0,1306748339
233248,zors1843,283,133,46,0,2,0,1372835220
131865,aquacoach,283,226,13,0,3,0,1339098652
56779,Open Scouter,281,275,2,0,0,0,1226136617
149638,dachs,281,248,11,0,0,0,1279227168
583373,Drazhar,281,188,25,0,3,0,1392476111
29188,Dch,278,275,1,0,0,0,1251971986
33663,grifo,275,248,9,0,0,0,1225557624
33326,LocalMapper,273,273,0,0,0,0,1223573707
47802,gomatteo,270,225,6,1,2,1,1360354974
100055,Skyro,267,267,0,0,0,0,1336292640
220835,lakic,265,217,12,0,2,0,1351358298
593205,msdess,264,117,19,0,15,0,1386047790
315015,WernerP,253,244,1,0,1,0,1317977426
357465,tofli,252,234,6,0,0,0,1336323817
1817477,andria_import,252,87,21,0,17,0,1385323370
430921,sardylan,250,211,11,0,1,0,1367760901
22290,Ale_Zena_IT,245,221,8,0,0,0,1399725852
990006,30010316,243,87,50,0,1,0,1359570504
44221,dcp,241,73,20,2,13,2,1356357889
1287288,coremimo,241,193,12,0,2,0,1394007668
1863469,Federico Sangati,237,75,18,0,18,0,1388839686
225990,muetzekoeln,235,181,14,0,2,0,1353101355
284172,editor20,234,219,5,0,0,0,1369582505
202829,stone005,227,221,2,0,0,0,1320159387
200056,Simploni,227,224,1,0,0,0,1285787963
33576,el Capitán,223,223,0,0,0,0,1275133218
1619792,hiaciame,223,160,15,0,3,0,1396897289
39890,AJoNee,221,209,2,0,1,0,1350119646
978118,FMusa,216,54,50,0,2,0,1355335552
23491,oryx,216,213,1,0,0,0,1287428810
1276210,Nando Canu,215,83,44,0,0,0,1364151542
523098,StefanMTB,213,204,3,0,0,0,1347436751
1198074,DoubleA,212,8,68,0,0,0,1389040176
1180246,krsz,208,190,6,0,0,0,1357124147
581908,Henrykus,208,19,61,0,1,0,1326186800
1726563,andreaciclabile,208,94,33,1,1,0,1382971983
128186,malcolmh,208,118,26,0,2,0,1397229354
1421199,Martin1324,208,151,11,0,4,0,1376687823
977303,fair,207,78,19,2,7,2,1384958900
967927,Ale-B,206,197,3,0,0,0,1367236838
76035,Slimer,206,206,0,0,0,0,1274048123
715884,hllrsr95,205,136,13,0,5,0,1341577915
7785,StefanDausR,204,189,5,0,0,0,1253133560
151374,Sembola,203,191,4,0,0,0,1272383762
27293,demi,203,149,12,0,3,0,1255886902
1075559,cachbrens,201,144,7,0,6,0,1386946597
37791,Fradeve11,201,195,2,0,0,0,1261914008
1249205,Rudolf Mayer,200,8,21,1,19,1,1399502548
1464202,Enrico Cacciotto,198,21,57,0,1,0,1368975002
278472,Artax,194,167,9,0,0,0,1400319377
140361,Ramon70,194,101,23,0,4,0,1337713321
45416,Boris Wagner,192,189,1,0,0,0,1269619779
461945,poppei82,191,47,16,0,16,0,1358372030
13203,bahnpirat,188,188,0,0,0,0,1229424980
1796074,RobertoBassu,188,65,12,1,12,1,1397646040
1016893,Salva Soddu,185,86,19,0,7,0,1354612424
22110,ilrobi,185,161,6,0,1,0,1385147756
95387,rugamarcus,183,105,16,0,5,0,1375389556
1228346,BarbaraCabiddu,183,102,9,0,9,0,1361297609
722137,OSMF Redaction Account,182,59,39,0,1,0,1342399768
527535,Constable,181,118,10,1,3,1,1393497569
1138956,DanielaS,180,174,2,0,0,0,1355603466
810523,Trenomarcus,178,91,29,0,0,0,1401147347
